2017-10-06 19:14:44.4543 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:49.3725 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:49.4285 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:54.3348 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:54.3678 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:59.3171 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:59.3421 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:04.3654 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:04.3884 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:09.3467 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:09.3737 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:14.7930 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:14.8130 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:19.7283 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
